               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10907,            0.032187,                   0,           0.0013333,            0.074074,          0.00079941,          0.00048773,            0.075868,            0.026284,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10961,            0.031811,                   0,           0.0026667,             0.14815,           0.0026368,          0.00083328,            0.067115,            0.024909,                   0,             0.07389,           0.0028904,           0.0028904
                   2,            0.088293,            0.031631,                   0,           0.0027719,             0.18519,            0.010042,           0.0016559,            0.063122,            0.022297,                   0,            0.060371,            0.004371,            0.004371
                   3,            0.081772,            0.029299,                   0,           0.0032143,             0.44444,            0.012074,           0.0038479,             0.06109,            0.019717,                   0,            0.046842,           0.0058416,           0.0058416
                   4,            0.075223,             0.03138,                   0,            0.009324,             0.40741,            0.012434,           0.0030889,            0.060538,             0.01689,                   0,            0.033302,           0.0073023,           0.0073023
                   5,            0.066324,            0.026062,                   0,             0.08246,             0.18519,            0.078512,            0.015788,            0.053953,            0.016927,                   0,            0.019753,           0.0087532,           0.0087532
                   6,            0.074774,            0.027577,                   0,            0.036594,             0.40741,            0.054308,            0.016682,            0.065282,            0.013315,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.071811,            0.023296,                   0,             0.02814,             0.55556,             0.06906,            0.018217,            0.051179,            0.014035,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.058498,            0.023564,                   0,             0.16223,              0.2963,             0.17034,            0.046561,             0.05171,            0.012741,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.059953,            0.024508,                   0,            0.085757,             0.40741,             0.22743,            0.083294,            0.047064,            0.013847,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.057778,            0.025682,                   0,            0.085757,             0.40741,             0.22743,            0.083294,            0.047064,            0.013847,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.061224,               0.023,                   0,              0.1131,             0.25926,             0.20728,            0.068675,             0.04791,            0.013781,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.056769,             0.02159,                   0,            0.095971,             0.25926,             0.23255,            0.057054,            0.047354,            0.013722,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.058929,            0.023807,                   0,             0.16145,              0.2963,             0.24056,            0.048947,            0.047911,            0.013303,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.056427,            0.022412,                   0,            0.098341,              0.2963,              0.1551,            0.036954,            0.047039,            0.012914,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.058216,            0.023692,                   0,             0.10093,             0.33333,             0.11232,            0.031644,             0.04863,            0.012407,                   0,            0.009538,            0.009538,            0.009538
